"Inflation, Prices, and Interest Rates",National Budget and Debt,"Taxation, Tax policy, and Tax Reform",Ethnic Minority and Racial Group Discrimination,Gender and Sexual Orientation Discrimination,"Voting Rights, Participation, and Related Issues",Freedom of Speech & Religion,Comprehensive health care reform,"Insurance reform, availability, and cost",Provider and insurer payment and regulation,"Medical liability, fraud and abuse","Prevention, communicable diseases and health promotion",Infants and children,Mental illness and mental retardation,Prescription drug coverage and costs,Food Inspection and Safety (including seafood),"Agricultural Marketing, Research, and Promotion","Worker Safety and Protection, Occupational and Safety Health Administration (OSHA)",Employment Training and Workforce Development,Employee Benefits,Employee Relations and Labor Unions,Fair Labor Standards,Parental Leave and Child Care,"Migrant and Seasonal workers, Farm Labor Is",Higher Education,Education of Underprivileged Students,Educational Excellence,Arts and Humanities,Drinking Water Safety,Waste Disposal,"Hazardous Waste and Toxic Chemical Regulation, Treatment, and Disposal","Air pollution, Global Warming, and Noise Pollution",Species and Forest Protection,Pollution and Conservation in Coastal & Other Navigable Waterways,Nuclear Energy and Nuclear Regulatory Commission Issues,Electricity and Hydroelectricity,Natural Gas and Oil (Including Offshore Oil and Gas),Alternative and Renewable Energy,Energy Conservation,Immigration and Refugee Issues,"Highway Construction, Maintenance, and Safety","Airports, Airlines, Air Traffic Control and Safety",Railroad Transportation and Safety,Truck and Automobile Transportation and Safety,"Maritime Issues, Including Safety and Security",White Collar Crime and Organized Crime,"Illegal Drug Production, Trafficking, and Control",Court Administration,Prisons,Juvenile Crime and the Juvenile Justice System,Child Abuse and Child Pornography,Family Issues,"Police, Fire, and Weapons Control","Food Stamps, Food Assistance, and Nutrition Monitoring Programs",Poverty and Assistance for Low-Income Families and Individuals,"Elderly Issues and Elderly Assistance Programs (Including Social Security
Administration)",Assistance to the Disabled and Handicapped,Housing and Community Development,U.S. Banking System and Financial Institution Regulation,Securities and Commodities Regulation,"Consumer Finance, Mortgages, and Credit Cards",Bankruptcy,Small Business Issues and the Small Business Administration,Copyrights and Patents,Domestic Disaster Relief,Consumer Safety and Consumer Fraud,"U.S. and Other Defense Alliances, U.S Security Assistance","Military Intelligence, CIA, Espionage",Arms Control and Nuclear Nonproliferation,Veteran Affairs and Other Issues,Military Procurement and Weapons System Acquisitions and Evaluation,National Guard and Reserve Affairs,Civil Defense & Homeland Security,"NASA, U.S. Government Use of Space, Space Exploration Agreements",Telephone and Telecommunication Regulation,"Broadcast Industry Regulation (TV, Cable, Radio)","Computer Industry, Computer Security, and General Issues related to the Internet","Trade Negotiations, Disputes, and Agreements","Tariff and Import Restrictions, Import Regulation",U.S. Foreign Aid,Human Rights,"International Organizations other than Finance: United Nations (UN), UNESCO, International Red Cross","Terrorism, Hijacking",Government Efficiency and Bureaucratic Oversight,Postal Service Issues (Including Mail Fraud),"Currency, Commemorative Coins, Medals, U.S. Mint","Federal Government Branch Relations and Administrative Issues, Congressional Operations","Regulation of Political Campaigns, Political Advertising, PAC regulation, Government Ethics",Census,"National Parks, Memorials, Historic Sites, and Recreation",Native American Affairs
feder statist,page stat,sale tax,racial profil,sexual orient,vote right,perform abort,ushealth board,medisav account,reform year,medic malpractic,influenza vaccin,pregnant women,mental health,prescript drug,food safeti,marin aquacultur,safeti health,page stat,unemploy compens,labor organ,minimum wage,child care,ha worker,higher educ,head start,mathemat scienc,art human,drink water,solid wast,chemic substanc,climat chang,endang speci,coastal zone,usec inc,restor agreement,pipelin safeti,renew energi,energi save,hb nonimmigr,highway safeti,air carrier,rail passeng,motor carrier,coast guard,money launder,control substanc,forens scienc,feder prison,juvenil justic,child abus,child support,page stat,food stamp,child poverti,older individu,individu disabl,regul entiti,save associ,contract market,credit card,unit state truste,small busi,intellectu properti,hurrican katrina,consum product,north atlant,intellig commun,antipersonnel landmin,veteran affair,defens acquisit,nation guard,homeland secur,aeronaut space,geoloc inform,broadcast retransmiss,yk action,trade agreement,tariff act,foreign assist,human right,unit nation,militari commiss,govern public,postal servic,commemor coin,librari congress,feder elect,decenni censu,nation histor,indian tribe
statist data,medicareplu plan,incom tax,minor busi,section subtitl amend,requir act ltallgt,first amend,region allianc,health insur,amend titl xviii,malpractic insur,pandem influenza,child health,mental ill,medicareadvantag plan,fish product,specialti crop,mine safeti,job corp,retir save,relat act,day labor,depend care,agricultur labor,student loan,page stat,profession develop,nation endow,ground water,wast manag,hazard substanc,carbon sequestr,fish wildlif,wetland conserv,depart energi,feder power act,lesse designe,geotherm resourc,energi conserv,refuge resettl,federalaid highway,air transport,rail carrier,motor vehicl,merchant marin,gang activ,drug traffick,feder court,bureau prison,youth violenc,crime children,domest violenc,gun violenc,supplement food,work program,social secur,children disabl,commun develop,depositori institut,cover bond,home mortgag,state truste,effect ltltnote usc,strike section small,natur disast,product liabil,author avail,classifi inform,nuclear weapon,refer committe veteran,commerci item,reserv compon,appropri senat hous,space station,telecommun carrier,public broadcast,encrypt product,trade act,border protect agenc,humanitarian assist,human traffick,foreclosur prevent,intern terror,repeal report,post offic,gold medal,member employe,presidenti elect,censu popul,nation park,nativ american
shall effect dateth,total health,capit gain,minor farmer,sexual harass,regist vote,partialbirth abort,ushealth program,health coverag,physician servic,care fraud,cover countermeasur,children health,individu autism,medicareadvantag organ,poultri product,research promot,defend particip,job train,pension plan,nation labor relat,davisbacon act,famili leav,agricultur worker,educ save,bureaufund school,educ research,perform art,water suppli,reduct recycl,respons action,carbon dioxid,fisheri manag,coral reef,addit protocol,rural electrif,oil ga,geotherm energi,energi effici,regist posit,surfac transport,feder aviat,railroad safeti,air bag,vessel oper,organ retail,drug interdict,elig client,prison rape,juvenil crime,child pornographi,foster care,firearm ammunit,food nutrit,welfar recipi,person retir account,disabl save,hous act,credit union,secur exchang,highcost mortgag,case chapter,sbir program,patent trademark,disast relief,highercost mortgag,north atlant treati,central intellig,model seri,veteran benefit,acquisit posit,reserv offic,border patrol,remot sens,realloc commiss,televis program,highperform comput,trade repres,suspens duti,partner countri,religi persecut,intern crimin court,terrorist organ,sec report,postag stamp,cent coin,librarian congress,elect campaign,director censu,smithsonian institut,indian affair
statist reorgan,public debt,feder tax,minor busi enterpris,amend section subtitl,board advisor,religi belief,health care,particip beneficiari enrolle,medicar physician,health care fraud,physic activ,matern care,subpart ii,page stat,genet engin,promot research,asbesto claim,workforc develop,wto particip,reduct oper,amend fair labor,famili medic,hc worker,postsecondari educ,earli educ,student perform,american folklif,water qualiti,wastewat treatment,hazard wast,air act amend,fisheri resourc,dredg materi,nuclear facil,feder power,natur ga,solar energi,natur ga supplier,employ author,highway system,aviat safeti,rail infrastructur,passeng vehicl,maritim administr,organ crime,drug abus,capit case,prison industri,juvenil delinqu,sex offend,famili violenc,volunt firefight,state agenc,amend section amend,area agenc,development disabl,renew commun,financi institut,agricultur contract,loan modif,commenc case,effect ltltnote,trademark act,field em,leasepurchas agreement,atlant treati,page stat,defens trade,veteran employ,industri base,readi reserv,emerg commun,commerci space,telecommun servic,provis section ltallgt,qualifi state agenc,annex agreement,auto part,palestinian author,war crime,durban ii,muslim brotherhood,inspector gener,postmast gener,congression gold,item veto,lobbi activ,bureau censu,nation museum,indian reserv
reorgan bill,committe budget,distil spirit,feder advertis,date enact subtitl,vote right act,abort servic,health choic,public health plan,payment model,equip date,avian influenza,children hospit,substanc use,drug biolog,food establish,hass avocado,drugfre workplac,disloc worker,amend section public,nation labor,amend fair,servic sec author,au pair,educ assist,earli learn,nation educ,seminar institut,water system,special environment,transuran wast,air pollut,marin mammal,manag confer,fusion energi,electr power,energi secur act,wind energi,ga supplier,immigr statu,highway project,aviat administr,railroad carrier,motorcycl helmet,passeng vessel,retail marketplac,nation drug,grand juri,feder prison industri,juvenil offend,miss children,adopt expens,possess firearm,school lunch,work famili,older american act,abl account,homeownership credit,foreign insur,amend secur,mortgag loan,government unit,small entiti,patent applic,flood insur,product safeti,el salvador,trade secret,countermeasur product,prefer elig,facnet system,member reserv,defens forc,space transport,telecommun busi,commun act,comput softwar,subject merchandis,prohibit import,obstetr fistula,north korean,intern olymp,terrorist act,major rule,postal regulatori,congression gold medal,member hous repres,gener elect,redistrict commiss,nation monument,nativ hawaiian
statist reorgan bill,notegtgt effect,busi entiti,custom servic personnel,enact subtitl,absente ballot,hous worship,medicareplu product,medihealth plan,altern payment,fraud abus,hivaid sti,newborn screen,behavior health,drug medicar,anim drug,canola rapese,cover ill,local board,retir plan,amend nation labor,fair labor,parent leav,farm labor,financi aid,literaci program,environment educ,project product,calf program,medic wast,hazard materi,carbon captur,conserv plan,secretari administr applic,seal sourc,hydroelectr project,pipelin facil,hydrogen fuel,clean diesel,region center,highway bridg,airport airway,rail car,automobil manufactur,oper vessel,antimoney launder,drug enforc,judici offici,correct facil,homeless youth,child protect,intercountri adopt,crimin arsonist,child nutrit,individu develop,older american,child disabl,foreclosur commission,kid account,deriv activ,rentalpurchas agreement,reaffirm agreement,develop compani,copyright owner,natur catastroph,internet creditor,nato particip,intellig committe,chemic weapon,agent orang,defens procur,app gtgt,border secur,space shuttl,telephon call,media product,electron mail,nondiscriminatori treatment,harmon tariff,civil strife,women right,court ltallgt,boko haram,regulatori action,mail matter,numismat item,execut offic presid,voter registr,term censu,histor preserv,indian land
statist data center,receiv qualifi receiv,oc trust,durban review confer,perman partnership,elect auditor,conduct occur date,health secur,beneficiari enrolle,paragraph year,care liabil claim,health promot,children adolesc,autism spectrum disord,chronic ill,pesticid chemic,agricultur market,insur particip,local area,retire benefit,labor relat act,fair labor standard,care credit,order print,educ loan,adult literaci,educ technolog,endow art,water research,beverag contain,element mercuri,accident releas,ancient forest,mitig bank,nuclear power,region transmiss,petroleum product,fuel cell,green build,passag ltallgt,highway construct,air servic,rail servic,new automobil,feder maritim,monetari instrument,control substanc act,hold court,titl whoever,delinqu prevent,amber alert,elder abus,administr fema,infant formula,needi famili,usa retir,nonprofit agenc,leadbas paint,financi servic,secur law,financi literaci,bankruptci code,smallbusi concern,exclus right,hurrican sandi,product recal,secur assist,nation secur,qualifi legisl,disabl veteran,aircraft program,usc app gtgt,feder director,space flight,telecommun network,cabl system,comput system,restor copyright,harmon tariff schedul,peac corp,victim traffick,intern crimin,foreign state,agenc shall,zip code,circul coin,earli action agreement,independ counsel,independ redistrict commiss,nation heritag,indian tribal
manufactur allow,medigr plan,subsect section relat,durban review,domest partnership,individu vote,free speech,corpor allianc,qualifi bcp,servic furnish,qualiti safeti,colorect cancer,healthi children,mental substanc use,prescript medicin,organ produc,order shall provid,black lung,naftaimpact commun,retir benefit,investig offic,labor standard,childcar program,farm labor contractor,guaranti agenc,academ achiev,scienc mathemat,nation endow art,agreement ltallgt,product packag,remedi action,sulfur dioxid,conserv manag,navig water,nuclear energi,electr reliabl,vintag year,exchanger misalign,effici light,immigr visa,public transport,aviat secur,highspe rail,safeti belt,harbor mainten,corpor limit liabil,drug test,chief judg,parol commiss,crime prevent,sex traffick,famili plan,explos materi,nutrit monitor,individu famili,usa retir fund,disabl individu,invest save,store valu,qualifi manufactur,residenti mortgag,foreign proceed,small manufactur,patent owner,pelican commiss,contact lens,republ korea,transfere agenc,russian feder,veteran appeal,acquisit workforc,promot board,homeland secur act,outer space,telephon servic,cabl oper,comput network,custom servic,electron equip,develop assist,victim tortur,world summit,violent extrem,foreclosur truste,postal regulatori commiss,coin program,former presid,polit parti,special censu,recreat area,indian commun
state shall effect,usc notegtgt effect,charit contribut,review confer,subtitl amend,sworn written,special motion,health board,basicar health,mip elig,patient safeti,tobacco product,infant mortal,autism spectrum,center medicar choic,countri use,class iv,medic monitor,feder partnership,unemploy benefit,strike lockout,labor standard act,famili medic insur,job opportun,heap account,famili literaci,stem educ,juli later,washington aqueduct,wast reduct recycl,asbestoscontain product,clean air,anim welfar,oil pollut,atom energi act,electr energi,critic miner,fuel alcohol,fuel save,unaccompani alien,interst system,airport secur,grade cross,child restraint,unit state seaport,correspond account,substanc act,legal servic,prison jail,school secur,exploit child,young individu,firearm safeti,food instrument,enact workforc innov,area agenc age,habilit facil,invest save account,save loan,energi trade,debt settlement,unsecur claim,score advisori,regist copyright,declar disast,prospect franchise,nato particip act,foreign intellig,remington model,retir pay,depart defens,militari servic,secretari manag,nation aeronaut,telecommun facil,televis industri,threat indic,nafta countri,tropic wood,east timor,women girl,intern olymp committe,act terror,rule agenc,bypass mail,medal valor,strike committe,elect day,decenni census,system unit,tribe shall
statist system,identifi financi,state tax,race color,section subtitl,sourc agenc,greekth sec,nation health,medic technolog,mip elig profession,claim payment,prostat cancer,coverag children,eat disord,rebat elig,human consumpt,promoflor council,reader panel,workforc invest,compens act,music servic,feder climat chang,amend famili medic,section ahiia,learn account,literaci instruct,comput scienc,art educ,clean water trust,recycl materi,potenti respons,elig project,great ape,gulf main,nuclear plant,deliv electr,leas act,thermal energi,water heater,increas ltallgt,driver licens,feder aviat administr,rail transport,truck automobil,state seaport,privat bank,nation drug control,district court,state prison,school violenc,protect children,child welfar,law enforc,food desert,welfar spend,oldag survivor,assist technolog,score project,deposit insur,deriv market,collabor applic,case file,sttr program,copyright work,tsunami warn,product liabil action,nato member,physic search,harrington richardson,veteran affair bill,militari depart,activ reservist,commerci director,space launch,common carrier,radio broadcast,cyber secur,unprocess timber,head relat,organ issu,child labor,world summit children,enemi belliger,modernday slaveri,cover postal,coin issu,legisl branch,elig candid,independ redistrict,nation memori,settlement agreement
feder statist servic,deficit reduct,gift tax,disadvantag busi,gender equiti,complianc notif requir,flag unit,rural area,independ home,longterm care provid,malpractic claim,lyme diseas,herit disord,psycholog health,internet pharmaci,meat poultri,valuead agricultur,lung benefit,competit integr,automat ira,labor relat,standard act,amend famili,migrant season,elig institut,prekindergarten program,foreign languag,hispan cultur,manag program,enact wast,brownfield site,ozon layer,wildlif traffick,clean water act,design nuclear,studi panel,crude oil,feder helium,energi manag,immigr judg,highway trust,gener aviat,amtrak shall,secretari transport,feder maritim commiss,gang violenc,methamphetamin laboratori,court appeal,probat parol,special registr,sexual exploit,adopt child,law enforc offic,section nation school,work activ,assist secretari shall,recommend naic,score project area,substitut check,secur transact,qualifi mortgag,famili farmer,may cite small,applic patent,investig team,cosmet ingredi,kurdistan region,terrorist travel,tier agent,nation cemeteri,ballist missil,ltltnote usc app,section ahva,launch vehicl,oper compani,erickson secretari,cybersecur threat,worker right,subhead sec,abduct occur,physic control,summit children,support terrorist,collect inform,feca program,reserv note,applic legisl,polit committe,data relat,commemor work,indian enterpris
cotton rice,sequestr order,monetari author,racial discriminatori,civil right act,standard board,display flag,health individu,medic secur,access respons health,physician provid,hepat viru,childhood obes,mental substanc,elig beneficiari,food product,crop manag,amend occup safeti,program year,incent account,labor disput,feder climat,depend care assist,agricultur employ,commun colleg,english learner,nation teacher,john kennedi center,depart environment protect,materi manag,materi transport,carbon permit,anim welfar act,chesapeak bay,department laboratori,electr servic,motor fuel,wind facil,fuel economi,southern border,highway fund,airport oper,railroad track,distract drive,secretari transport,retail crime,war drug,justic judg,prison transfer,violenc prevent,child abduct,batter women,boltact rifl,nutrit program,generalsect usc amend,agenc age,social secur court,local opportun,board governor,privat action,financi regul,foreign repres,cite small,state patent,seismic retrofit,event ticket,assist act amend,intellig activ,econom support assist,special pension,direct energi,call order,critic infrastructur,earth scienc,mobil devic,broadcast licens,center cybersecur,mostfavoredn treatment,textil apparel,baltic state,italian american,state olymp trust,balkan region,academi practic,effect march ltallgt,comput crime,architect capitol,govern act,data relat poverti,histor site,indian health
statist servic,debt limit,ffarrm account,deathelig crime,sexselect abort,registr act usc,flag unit state,health benefit plan,ambul provid,comprehens access respons,medic malpractic insur,diabet retinopathi,elig area,risk suicid,drug price,agricultur product,farmer rancher,amend occup,displac homemak,retir incom,railway labor,compensatori time,subsect appropri,season agricultur,gi bill,educ empower,director trust,chairperson shall,servic line,sewer water,radioact wast,clean air act,zebra mussel,water qualiti,appli commiss,retail electr,offshor oil,methan hydrat,daylight save time,perman resid,trip bond,airlin industri,feder railroad,weight limit,maritim commiss,organ retail crime,methamphetamin abus,asbesto silica,boot camp,violent crime,sexual abus,famili engag,firearm act,farmtoschool program,receiv aid,grow account,disabl act,hous commun,design transfer date,ponzi scheme,mortgag fraud,nonbankruptci law,nmvc compani,unit state patent,catastroph disast,ident theft,missil defens,director intellig,nuclear program,warrior program,defens system,activ statu,catastroph incid,geospati data,telephon number,commun act usc,nation center cybersecur,asia south,effect august,unit state assist,amnesti intern,olymp trust fund,terrorist activ,nation academi practic,cover postal entiti,dollar coin,congression mail,campaign committe,censu questionnair,nation forest,water right
costofliv adjust,laps appropri,estat tax,qualifi minor,insert judg,elect assist,religi symbol,evalu subsect,choic care,restraint seclus,partial hospit servic,bed bug,pediatr palli,plan submit date,medicar fund,food protect,integr crop manag,black lung benefit,employ train,csec plan,teamster plan,feder contract,grant section fiscal,temporari resid,agenc associ,educ empower zone,math scienc,kennedi center,treatment work,sanitari landfil,toxic substanc,global warm,diseas emerg,wet weather,atom energi,public util,leas sale,energi secur,market commod,immigr enforc,state rout,stage aircraft,tank car,vehicl equip,boat safeti,nonfinanci trade,drug treatment,famili court,good time,adjud delinqu,abduct children,adopt children,transfer handgun,commun agricultur,meanstest welfar,older person,licens vendor,hous agenc,design transfer,individu invest account,consum credit,debtor shall,insert attest,copyright royalti,reinsur coverag,children product,forc republ,defens intellig,defens feder,serviceconnect disabl,secretari defens,call activ,oper commiss,nation aeronaut space,advanc televis servic,televis station,combat cybercrim,like product,way mean bill,soviet republ,religi freedom,olymp trust,alien terrorist,flexibl plan,postal entiti,quarter dollar,pay member congress,campaign fund,singl metropolitan,heritag area,tribe member
cost live,continu appropri,tax incom,prevent racial,administr judg,american democraci,foreign lawsuit,health individu retir,medic treatment,pac provid,provid number,gestat diabet,hiv diseas,submit date day,list drug,inspect act,integr crop,asbesto claimant,apprenticeship program,certain employe,vacat time,cooper state agenc,paid leav,migrant season agricultur,student aid,ltltnote usc gtgt,master teacher,project product workshop,water trust,recoveri rate,parti state,offset project,sanctuari system,coastal barrier,nuclear powerpl,plugin electr drive,hazard liquid,clean energi,automobil manufactur,exchang visitor,transport plan,oper aircraft,freight corridor,state transport board,port secur,oblig secur,antidrug program,refer committe judiciari,prison shall,secur detent,child model,support oblig,licens dealer,nutrit assist,tanf program,amend titl ii,secur court,lowincom famili,bank shall,secur market,loan origin,confirm plan,equival inform,invent promot,disast purpos,salvag vehicl,republ bosnia herzegovina,select committe intellig,action rifl,center ltallgt,cost price data,reserv technician,urban counti,aeronaut research,telecommun industri,cabl televis,internet freedom,binat panel,refer committe way,defens articl,gener ltallgt,crimin court,foreign counterintellig,busi system transform,lieu thereof offici,coin act,hous oversight,contribut person,relat poverti,histor properti,indian hous
unit state dollar,sec reduct,head page,morril act,women veteran,vote act,church religi,comprehens health,bipartisan health,select paragraph,bb social secur,incur diseas,pregnant women health,psychologist servic,drug furnish,label label,farmer market,coal mine,workforc train,erisa amend,railway labor act,flexibl credit,servic sec,strike migrant,due decemb,usc gtgt,mathemat scienc engin,product workshop,end ltallgt,coal combust residu,hazard materi transport,amend clean air,fish habitat,convert wetland,nuclear regulatori,tennesse valley,petroleum reserv,ga distributor,energi star,design agricultur,metropolitan plan,air traffic,rail public,feder cochairperson,state custom border,gang activ area,judgment debtor,class member,correct health,juvenil account,child predat,credit adopt,fire depart,hunger relief,depend children,selfemploy incom,social secur disabl,shall termin,securitybas swap,regul ltallgt,spend account,respect case,workplac educ,invent develop,emerg manag,cosmet product,republ bosnia,intellig shall,charl dali,homeless veteran,kit ii,choic fund,state defens forc,committe scienc,univers servic,onlin video,inform infrastructur,origin good,crop year,global fund,violenc women,world health,unprivileg enemi,feder execut board,closur consolid,state mint,militari tribun,polit organ,apportion repres congress,visitor center,committe indian
price support,qualifi receiv,head page stat,seq titl vi,domest partner,content subtitl titl,voluntari prayer,health profess,critic care,bill unit,bb social,diabet prevent,infant born,payment subpart ii,immunosuppress drug,milk product,amend agricultur,mine oper,ila director,safe account,compact agenc,live wage,chief execut project,period employ,educ save account,program assist,student learn,john kennedi,public water,materi manag act,toxic substanc control,ozonedeplet chemic,invas speci,artifici reef,energi laboratori,hydroelectr settlement,miner activ,altern fuel,chapter effect dateth,petition employ,phase retire,system specialist,transport rail,teen driver,certif document,nonfinanci trade busi,amend control substanc,state court,local correct,prevent intervent,miss exploit,child marriag,mass violenc,food program,generalsect usc,assist secretari may,secur disabl,revit credit,financi compani,taxexempt bond,associationltdeletedgt ltdeletedgt,case commenc,usc notegtgt dateth,music work,disast save,consum protect,may use carri,nation counterintellig,marlin model,headston marker,refer committe arm,veteran choic fund,feder protect servic,space grant,paypercal servic,televis violenc,protect comput,administ author,ef ef,subsaharan africa,strateg commun,contribut unit,unprivileg enemi belliger,inspect audit review,provid issuanc,unit state mint,legisl branch feder,lobbi disclosur,censu data,paleontolog resourc,indian countri
state dollar,commun care,new head page,cultur compet,girl women,respect elect,relat abort,medicareplu organ,hivaid screen,guaranti fund,partial hospit,pancreat cancer,dental offic,intellectu disabl,acquisit cost,amend feder food,sweet potato,compens benefit,job creation,unemploy tax,labor act,wage requir,deplet chemic,labor contractor,amend higher,high qualiti,fulli qualifi,institut museum,rio puerco,combust residu,potenti respons parti,amend clean,migratori bird,recreat water,reactor program,government util,offset credit,energi bond,effici measur,detent facil,highway trust fund,air commerc,rail public transport,truck safeti,project navig,ident theft,drug control,session amend,detent facil,runaway homeless,visual depict,victim domest,volunt fire,reduc price,earn incom,social enterpris,individu development,fair hous,nation bank,energi commod,princip resid,amend bankruptci,retail dealer,infring copyright,elig state program,consum fraud,section arm,access classifi,export control offens,provid veteran,nondevelopment item,conduct subsect later,homeland defens,space technolog,commun act,radio frequenc,advanc broadband,hous ltallgt,mean bill,restrict assist,member commiss,olymp sport,terrorist attack,feder cpo,stamp describ,feder reserv note,line item veto,provision ballot,data obtain,board regent,nativ corpor
valu unit state,choic plan sponsor,medicar choic,pigford claim,women scientist,unless state complianc,religi commun,state health,huntington diseas,comprehens access,prosthet devic,cancer patient,birth control,public entiti involv,medicar benefit administr,inspect program,altern agricultur product,week compens,competit integr employ,railroad retir,combin fund,flexibl credit hour,ozon deplet chemic,intend employ,amend higher educ,child develop,student perform standard,art center,water degrad,wast materi manag,zinc dimethyldithiocarbam,emiss reduct,habitat conserv,underwat pipelin,energi act,transmiss line,fuel price,residenti solar energi,data center,special immigr,period octob,airport develop,surfac transport board,automobil dealer,cruis vessel,theft ident,substanc analogu,prospect relief,correct institut,youth crime,traffick children,teen pregnanc,polic corp,strike figur,invest act effect,senior citizen,individu development disabl,hous commun develop,insert onefourth,invest advis,cover account,state code reenact,page stat,royalti payment,displac student,biomateri supplier,cfe treati,former spous,defens trade export,compens ltallgt,secretari defens acquisit,qualifi reservist,smart grid,space program,telephon compani,secondari transmiss,yk failur,beneficiari countri,ef ef ef,food secur,govern sudan,health corp,page stat,agenc program,continu pay,award congression,substitut section titl,public offici,american resid abroad,recreat fee,committe indian affair
feder statist system,medicaid plan,expir provis,independ auditor,titl subtitl may,complianc notif,servic relat abort,class independ,medicar part,physician payment,abus medicar,autoimmun diseas,later januari,spectrum disord,pharmaci benefit,seafood product,cut green,farm safeti,train program,unemploy compens act,assign oper,wage hour,paid famili,regist worker,oversight board,sec ltltnote usc,use technolog,qualifi center,need survey,offic employe repres,addit wast,air act,lacey act,observ system,nuclear reactor,onecal notif,energi secur,wind project,conserv offic,design agricultur employ,transport equiti,unman aircraft,railroad employe,vehicl weight limit,marin act,intern organ crime,drug crime,committe judiciari,respect prison,pal chapter,unidentifi person,elder justic,nation firearm,committe agricultur,minor parent,depend care save,disabl determin,qualifi debentur,insur institut,mutual fund,mortgag origin,code reenact,contract award,digit audio,civil defens,carbon monoxid,gulf crisi,public diplomaci,control offens,veteranltdeletedgt ltdeletedgt,nation missil defens,employe credit,natur manmad,nasa shall,network outag,wireless innov,franchis area,boycot countri,treasuri ltallgt,foreign servic,violenc women girl,foreclosur prevent program,counter violent,respons subsect,stamp refer,requir secretari treasuri,substitut section,cover organ,estim prepar depart,scienc park,indian child
